,DateTime,Room,Capacity,Module,NumReg,Associated,PercentageEstimate,BinaryEstimate
86,2015-11-03 16:00:00,B-002,90,COMP40370P1,27,40,0.25,1
87,2015-11-03 16:00:00,B-002,90,COMP40370P1,27,39,0.25,1
88,2015-11-03 16:00:00,B-002,90,COMP40370P1,27,38,0.25,1
89,2015-11-03 16:00:00,B-002,90,COMP40370P1,27,37,0.25,1
90,2015-11-03 16:00:00,B-002,90,COMP40370P1,27,33,0.25,1
91,2015-11-03 16:00:00,B-002,90,COMP40370P1,27,36,0.25,1
92,2015-11-04 09:00:00,B-002,90,COMP30190,29,7,0.25,1
93,2015-11-04 09:00:00,B-002,90,COMP30190,29,15,0.25,1
94,2015-11-04 09:00:00,B-002,90,COMP30190,29,14,0.25,1
95,2015-11-04 09:00:00,B-002,90,COMP30190,29,15,0.25,1
96,2015-11-04 09:00:00,B-002,90,COMP30190,29,14,0.25,1
97,2015-11-04 09:00:00,B-002,90,COMP30190,29,14,0.25,1
98,2015-11-04 09:00:00,B-002,90,COMP30190,29,14,0.25,1
99,2015-11-04 09:00:00,B-002,90,COMP30190,29,13,0.25,1
100,2015-11-04 09:00:00,B-002,90,COMP30190,29,14,0.25,1
101,2015-11-04 09:00:00,B-002,90,COMP30190,29,15,0.25,1
102,2015-11-04 09:00:00,B-002,90,COMP30190,29,13,0.25,1
103,2015-11-04 10:00:00,B-002,90,COMP40660,53,12,0.25,1
104,2015-11-04 10:00:00,B-002,90,COMP40660,53,15,0.25,1
105,2015-11-04 10:00:00,B-002,90,COMP40660,53,15,0.25,1
106,2015-11-04 10:00:00,B-002,90,COMP40660,53,11,0.25,1
107,2015-11-04 10:00:00,B-002,90,COMP40660,53,14,0.25,1
108,2015-11-04 10:00:00,B-002,90,COMP40660,53,14,0.25,1
109,2015-11-04 10:00:00,B-002,90,COMP40660,53,15,0.25,1
110,2015-11-04 10:00:00,B-002,90,COMP40660,53,16,0.25,1
111,2015-11-04 10:00:00,B-002,90,COMP40660,53,15,0.25,1
112,2015-11-04 10:00:00,B-002,90,COMP40660,53,18,0.25,1
113,2015-11-04 10:00:00,B-002,90,COMP40660,53,18,0.25,1
114,2015-11-04 10:00:00,B-002,90,COMP40660,53,10,0.25,1
115,2015-11-04 11:00:00,B-002,90,COMP30250,22,7,0.25,1
116,2015-11-04 11:00:00,B-002,90,COMP30250,22,8,0.25,1
117,2015-11-04 11:00:00,B-002,90,COMP30250,22,6,0.25,1
118,2015-11-04 11:00:00,B-002,90,COMP30250,22,8,0.25,1
119,2015-11-04 11:00:00,B-002,90,COMP30250,22,7,0.25,1
120,2015-11-04 11:00:00,B-002,90,COMP30250,22,7,0.25,1
121,2015-11-04 11:00:00,B-002,90,COMP30250,22,9,0.25,1
122,2015-11-04 11:00:00,B-002,90,COMP30250,22,8,0.25,1
123,2015-11-04 11:00:00,B-002,90,COMP30250,22,9,0.25,1
124,2015-11-04 11:00:00,B-002,90,COMP30250,22,9,0.25,1
125,2015-11-04 11:00:00,B-002,90,COMP30250,22,14,0.25,1
126,2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,23,0.5,1
127,2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,23,0.5,1
128,2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,30,0.5,1
129,2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,35,0.5,1
130,2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,34,0.5,1
131,2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,37,0.5,1
132,2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,39,0.5,1
133,2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,35,0.5,1
134,2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,37,0.5,1
135,2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,37,0.5,1
136,2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,35,0.5,1
137,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,35,0.0,0
138,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,27,0.0,0
139,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,26,0.0,0
140,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,23,0.0,0
141,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,23,0.0,0
142,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,24,0.0,0
143,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,21,0.0,0
144,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,22,0.0,0
145,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,21,0.0,0
146,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,24,0.0,0
147,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,26,0.0,0
148,2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,29,0.0,0
149,2015-11-04 14:00:00,B-002,90,COMP30220,38,22,0.25,1
150,2015-11-04 14:00:00,B-002,90,COMP30220,38,21,0.25,1
151,2015-11-04 14:00:00,B-002,90,COMP30220,38,21,0.25,1
152,2015-11-04 14:00:00,B-002,90,COMP30220,38,23,0.25,1
153,2015-11-04 14:00:00,B-002,90,COMP30220,38,24,0.25,1
154,2015-11-04 14:00:00,B-002,90,COMP30220,38,24,0.25,1
155,2015-11-04 14:00:00,B-002,90,COMP30220,38,27,0.25,1
156,2015-11-04 14:00:00,B-002,90,COMP30220,38,24,0.25,1
157,2015-11-04 14:00:00,B-002,90,COMP30220,38,23,0.25,1
158,2015-11-04 14:00:00,B-002,90,COMP30220,38,23,0.25,1
159,2015-11-04 14:00:00,B-002,90,COMP30220,38,25,0.25,1
160,2015-11-04 14:00:00,B-002,90,COMP30220,38,19,0.25,1
161,2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,9,0.0,0
162,2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,4,0.0,0
163,2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,5,0.0,0
164,2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,5,0.0,0
165,2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,4,0.0,0
166,2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,4,0.0,0
167,2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,5,0.0,0
168,2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,6,0.0,0
169,2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,7,0.0,0
170,2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,6,0.0,0
171,2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,6,0.0,0
172,2015-11-04 16:00:00,B-002,90,COMP30250P1,22,9,0.25,1
173,2015-11-04 16:00:00,B-002,90,COMP30250P1,22,9,0.25,1
174,2015-11-04 16:00:00,B-002,90,COMP30250P1,22,15,0.25,1
175,2015-11-04 16:00:00,B-002,90,COMP30250P1,22,15,0.25,1
176,2015-11-04 16:00:00,B-002,90,COMP30250P1,22,19,0.25,1
177,2015-11-04 16:00:00,B-002,90,COMP30250P1,22,19,0.25,1
178,2015-11-04 16:00:00,B-002,90,COMP30250P1,22,21,0.25,1
179,2015-11-04 16:00:00,B-002,90,COMP30250P1,22,21,0.25,1
180,2015-11-04 16:00:00,B-002,90,COMP30250P1,22,21,0.25,1
181,2015-11-04 16:00:00,B-002,90,COMP30250P1,22,20,0.25,1
182,2015-11-04 16:00:00,B-002,90,COMP30250P1,22,18,0.25,1
183,2015-11-05 09:00:00,B-002,90,None,0,2,0.0,0
184,2015-11-05 09:00:00,B-002,90,None,0,0,0.0,0
185,2015-11-05 09:00:00,B-002,90,None,0,0,0.0,0
186,2015-11-05 09:00:00,B-002,90,None,0,0,0.0,0
187,2015-11-05 09:00:00,B-002,90,None,0,0,0.0,0
188,2015-11-05 09:00:00,B-002,90,None,0,2,0.0,0
189,2015-11-05 09:00:00,B-002,90,None,0,4,0.0,0
190,2015-11-05 09:00:00,B-002,90,None,0,3,0.0,0
191,2015-11-05 09:00:00,B-002,90,None,0,4,0.0,0
192,2015-11-05 09:00:00,B-002,90,None,0,7,0.0,0
193,2015-11-05 09:00:00,B-002,90,None,0,30,0.0,0
194,2015-11-05 09:00:00,B-002,90,None,0,30,0.0,0
195,2015-11-05 10:00:00,B-002,90,COMP30110,45,31,0.5,1
196,2015-11-05 10:00:00,B-002,90,COMP30110,45,37,0.5,1
197,2015-11-05 10:00:00,B-002,90,COMP30110,45,34,0.5,1
198,2015-11-05 10:00:00,B-002,90,COMP30110,45,30,0.5,1
